TAG,GLOSS,MORPHEMIC,ORTHOGRAPHIC,GITGLOSS,EXCLUDE,ERROR,NOTES
ROOT,EXPR-smoke,x̲-miyeen,x̲miyeen,x̲-miyeen,,,
ROOT,NMLZ-hurt-CAUS2,an-siip-in,ansiipin,an-siip-in,,,
ROOT,learn-CAUS2,hulaat'iks-in,hulaat'iksin,hulaat'iks-in,,,
ROOT,tight-CAUS2,sip-in,sipin,sip-in,,,? why did voicing get lost? should be sibin
ROOT,COM-return,di-yelt,diyelt,di-yelt,,,
ROOT,NMLZ-look.for,an-gi'y,angi'y,an-gi'y,,,
ROOT,JUSS-say,gun-he,gunhe,gun-he,,,
ROOT,PFX-finish,a-hlis,ahlis,a-hlis,,,
ROOT,COM-person,sil-get,silget,sil-get,,,
ROOT,CAUS1-sing,si-limx,silimx,si-limx,,,
ROOT,PFX-groundhog,x̲s-gwiikw,x̲sgwiikw,x̲s-gwiikw,,,
ROOT,NMLZ-CAUS1-burn,an-si-mihl,ansimihl,an-si-mihl,,,
ROOT,NMLZ-near,an-dulp,andulp,an-dulp,,,
ROOT,NMLZ-CAUS1-cook,an-si-ankw,ansiankw,an-si-ankw,,,
ROOT,JUSS-be/do,gun-wil,gunwil,gun-wil,,,
ROOT,CAUS1-dry,si-gwelkw,sigwelkw,si-gwelkw,,,
ROOT,pour-CAUS2,g̲ats-in,g̲atsin,g̲ats-in,,,
ROOT,INS-be/do,ha-wil,hawil,ha-wil,,,
ROOT,NMLZ-sew,an-libast,anlibast,an-libast,,,
ROOT,CAUS1-house,si-wilp,siwilp,si-wilp,,,
ROOT,COM-heal,di-moo,dimoo,di-moo,,,
ROOT,NMLZ-burn.up,an-melkw,anmelkw,an-melkw,,,
ROOT,CAUS1-man's.brother,si-wek,siwek,si-wek,,,
ROOT,NMLZ-see.I,an-ga'a,anga'a,an-ga'a,,,
ROOT,EXPR-be.full.II,x̲-ts'eex,x̲ts'eex,x̲-ts'eex,,,
ROOT,NMLZ-across.II,an-doosda,andoosda,an-doosda,1,,
ROOT,JUSS-see.I,gun-ga'a,gunga'a,gun-ga'a,,,
ROOT,NMLZ-hunt.I,an-siilin,ansiilin,an-siilin,,,
ROOT,NMLZ-feast.I,an-li'ligit,anli'ligit,an-li'ligit,,,
ROOT,NMLZ-invite.II,an-wo'o,anwo'o,an-wo'o,,,
ROOT,NMLZ-see,an-ga'a,anga'a,an-ga'a,,,
ROOT,PFX-noisy,x̲s-del,x̲sdel,x̲s-del,,,
ROOT,NMLZ-hunt,an-siilin,ansiilin,an-siilin,,,
ROOT,JUSS-see,gun-ga'a,gunga'a,gun-ga'a,,,
ROOT,NMLZ-invite,an-wo'o,anwo'o,an-wo'o,,,
ROOT,NMLZ-sharply.down-tell,an-t'ip-mahl,ant'ipmahl,an-t'ip-mahl,,,
ROOT,INS-on.II-rest,ha-'nii-sgwaa'ytxw,ha'niisgwaa'ytxw,ha-'nii-sgwaa'ytxw,,,
ROOT,INS-on.II-wash,ha-'nii-yo'oxs,ha'niiyo'oxs,ha-'nii-yo'oxs,,,
ROOT,out-JUSS-see.I,xsi??saa?-gun-ga'a,xsi??saa?gunga'a,_,,1,
ROOT,NMLZ-hunt.II-salmon,an-sin-hun,ansinhun,an-sin-hun,,,
ROOT,INS-on.II-land,ha-'nii-yip,ha'niiyip,ha-'nii-yip,,,
ROOT,clearly-big-people,aluu-'wii-get,aluu'wiiget,aluu-'wii-get,,,
ROOT,bad-be/do,han-wil,hanwil,han-wil,,,
ROOT,be/do-character,wil-get,wilget,wil-get,,,
ROOT,be/do-like,wil-ii,wilii,wil-ii,,1,"? parsing error, -ii shouldn't be in root"
ROOT,big-large,wii-t'is,wiit'is,wii-t'is,,,
ROOT,big-top,wii-u,wiiu,wii-u,,,
ROOT,together-one,sag̲ayt-k'i'y,sag̲aytk'i'y,sag̲ayt-k'i'y,,,
ROOT,means.of-dwell,g̲an-jok̲,g̲anjok̲,g̲an-jok̲,,,
ROOT,sit-wood,t'aa-g̲an,t'aag̲an,t'aa-g̲an,,,
ROOT,true-take,sim-guu,simguu,sim-guu,,,
ROOT,blocking.way-lie.on,sg̲a-sgi,sg̲asgi,sg̲a-sgi,,,
